SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	January 30, 2020	January 29, 2020	January 28, 2020	January 27, 2020	January 24, 2020
Chinese yuan					
Euro		0.8000570000	0.8002640000	0.8010950000	0.8013510000
Japanese yen		0.0066672000	0.0066726200	0.0066704900	0.0066288500
U.K. pound		0.9465260000	0.9463550000	0.9506330000	0.9504740000
U.S. dollar		0.7272580000	0.7271820000	0.7266170000	0.7261900000
Algerian dinar		0.0060566100	0.0060586400	0.0060573900	0.0060588700
Australian dollar		0.4926450000	0.4917200000		0.4972220000
Botswana pula		0.0672714000	0.0671916000	0.0673574000	0.0676083000
Brazilian real		0.1731280000	0.1729000000	0.1722250000	0.1738840000
Brunei dollar		0.5356540000	0.5354800000		
Canadian dollar			0.5517730000		0.5526560000
Chilean peso		0.0009227640	0.0009229840	0.0009357350	0.0009407340
Colombian peso		0.0002143660	0.0002139780	0.0002158690	0.0002165300
Czech koruna		0.0317400000	0.0317325000	0.0317536000	0.0318532000
Danish krone		0.1070630000	0.1070900000	0.1072020000	0.1072330000
Indian rupee		0.0102161000	0.0101951000	0.0101774000	
Israeli New Shekel		0.2103120000	0.2104720000	0.2101260000	0.2101850000
Korean won		0.0006180490	0.0006230140		
Kuwaiti dinar		2.3938700000	2.3948000000	2.3929400000	
Malaysian ringgit		0.1783150000	0.1780780000		0.1786670000
Mauritian rupee		0.0197372000	0.0197527000	0.0197751000	0.0197765000
Mexican peso		0.0388769000	0.0386754000	0.0383627000	0.0385629000
New Zealand dollar		0.4756270000	0.4756500000	0.4784770000	0.4805200000
Norwegian krone		0.0795574000	0.0794240000	0.0798200000	0.0806394000
Omani rial		1.8914400000	1.8912400000	1.8897700000	
Peruvian sol					0.2187320000
Philippine peso		0.0143110000	0.0142943000	0.0142757000	0.0142494000
Polish zloty		0.1870950000	0.1872060000	0.1876350000	0.1887430000
Qatari riyal		0.1997960000	0.1997750000	0.1996200000	
Russian ruble		0.0116560000	0.0115738000	0.0116561000	0.0117501000
Saudi Arabian riyal		0.1939350000	0.1939150000	0.1937650000	
Singapore dollar		0.5356540000	0.5354800000		0.5378790000
South African rand		0.0498486000	0.0495788000	0.0500146000	0.0505460000
Swedish krona		0.0756363000	0.0754651000	0.0758560000	0.0761764000
Swiss franc		0.7458670000		0.7496690000	
Thai baht		0.0235427000	0.0236182000	0.0236915000	0.0237986000
Trinidadian dollar		0.1081730000			0.1071630000
U.A.E. dirham		0.1980280000	0.1980070000	0.1978540000	
Uruguayan peso					0.0195087000

Currency units per SDR(3)

Currency	January 30, 2020	January 29, 2020	January 28, 2020	January 27, 2020	January 24, 2020
Chinese yuan					
Euro		1.249910	1.249590	1.248290	1.247890
Japanese yen		149.988000	149.866000	149.914000	150.856000
U.K. pound		1.056500	1.056690	1.051930	1.052110
U.S. dollar		1.375030	1.375170	1.376240	1.377050
Algerian dinar		165.109000	165.054000	165.088000	165.047000
Australian dollar		2.029860	2.033680		2.011170
Botswana pula		14.865200	14.882800	14.846200	14.791100
Brazilian real		5.776070	5.783690	5.806360	5.750960
Brunei dollar		1.866880	1.867480		
Canadian dollar			1.812340		1.809440
Chilean peso		1,083.700000	1,083.440000	1,068.680000	1,063.000000
Colombian peso		4,664.920000	4,673.380000	4,632.440000	4,618.300000
Czech koruna		31.506000	31.513400	31.492500	31.394000
Danish krone		9.340290	9.337940	9.328180	9.325490
Indian rupee		97.884700	98.086300	98.256900	
Israeli New Shekel		4.754840	4.751230	4.759050	4.757710
Korean won		1,617.990000	1,605.100000		
Kuwaiti dinar		0.417734	0.417571	0.417896	
Malaysian ringgit		5.608050	5.615520		5.597000
Mauritian rupee		50.665700	50.626000	50.568600	50.565100
Mexican peso		25.722200	25.856200	26.067000	25.931700
New Zealand dollar		2.102490	2.102390	2.089960	2.081080
Norwegian krone		12.569500	12.590700	12.528200	12.400900
Omani rial		0.528698	0.528754	0.529165	
Peruvian sol					4.571800
Philippine peso		69.876300	69.958000	70.049100	70.178400
Polish zloty		5.344880	5.341710	5.329500	5.298210
Qatari riyal		5.005110	5.005630	5.009520	
Russian ruble		85.792700	86.402000	85.792000	85.105700
Saudi Arabian riyal		5.156370	5.156900	5.160890	
Singapore dollar		1.866880	1.867480		1.859150
South African rand		20.060700	20.169900	19.994200	19.784000
Swedish krona		13.221200	13.251200	13.182900	13.127400
Swiss franc		1.340720		1.333920	
Thai baht		42.476000	42.340200	42.209200	42.019300
Trinidadian dollar		9.244450			9.331580
U.A.E. dirham		5.049790	5.050330	5.054230	
Uruguayan peso					51.259200


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
